well,elapsed,buildup,buildup(m)
PW-2,560,-0.00406824,-0.001239939
PW-2,580,0.00216536,0.00065997
PW-2,600,0.00265748,0.00080996
PW-2,620,0.00314961,0.000959954
PW-2,640,-0.00209973,-0.000639966
PW-2,660,0.00413386,0.001259939
PW-2,680,0.00462599,0.001409933
PW-2,700,0.00500875,0.001526593
PW-2,720,-0.0007874,-0.000239988
PW-2,740,0.00489939,0.001493261
PW-2,760,0.00484471,0.001476596
PW-2,780,0.00479003,0.00145993
PW-2,800,0.00473535,0.001443264
PW-2,820,-0.0010608,-0.000323316
PW-2,840,0.00462599,0.001409933
PW-2,860,0.00457131,0.001393267
PW-2,880,0.00451663,0.001376602
PW-2,900,0.00446195,0.001359936
PW-2,920,-0.0013342,-0.000406644
PW-2,940,0.00435259,0.001326605
PW-2,960,-0.00144357,-0.000439979
PW-2,980,0.00424322,0.00129327
PW-2,"1,000.00",0.00421042,0.001283273
PW-2,"1,020.00",-0.00147637,-0.000449976
PW-2,"1,040.00",-0.00142169,-0.00043331
PW-2,"1,060.00",0.00437446,0.00133327
PW-2,"1,080.00",0.00442914,0.001349936
